City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Agartala,wind_speed_50m,Success,5390.61,1.186,1.503,31.7%,sarima_Agartala_wind_speed_50m.pkl
Ahmedabad,wind_power_density_10m,Success,14607.17,19.410,27.975,219.4%,sarima_Ahmedabad_wind_power_density_10m.pkl
Agartala,wind_speed_2m,Success,3342.96,0.568,0.751,33.8%,sarima_Agartala_wind_speed_2m.pkl
Ahmedabad,wind_speed_10m,Success,4539.48,0.865,1.109,29.2%,sarima_Ahmedabad_wind_speed_10m.pkl
Ahmedabad,wind_speed_50m,Success,5237.82,1.196,1.483,28.9%,sarima_Ahmedabad_wind_speed_50m.pkl
Agartala,wind_speed_10m,Success,4322.85,0.783,1.033,30.5%,sarima_Agartala_wind_speed_10m.pkl
Agartala,wind_power_density_10m,Success,13324.37,11.763,19.277,175.5%,sarima_Agartala_wind_power_density_10m.pkl
Agartala,wind_power_density_50m,Success,16170.73,37.459,56.397,183.4%,sarima_Agartala_wind_power_density_50m.pkl
Ahmedabad,wind_speed_2m,Success,3825.56,0.708,0.895,34.7%,sarima_Ahmedabad_wind_speed_2m.pkl
Ahmednagar,wind_speed_10m,Success,5327.04,1.285,1.696,34.2%,sarima_Ahmednagar_wind_speed_10m.pkl
Ahmednagar,wind_speed_2m,Success,4578.21,1.040,1.347,39.6%,sarima_Ahmednagar_wind_speed_2m.pkl
Ahmednagar,wind_speed_50m,Success,5926.36,1.498,1.999,29.0%,sarima_Ahmednagar_wind_speed_50m.pkl
Ahmedabad,wind_power_density_50m,Success,16747.31,51.356,69.816,227.8%,sarima_Ahmedabad_wind_power_density_50m.pkl
Ahmednagar,wind_power_density_10m,Success,16329.87,50.848,79.725,310.1%,sarima_Ahmednagar_wind_power_density_10m.pkl
Ahmednagar,wind_power_density_50m,Success,18411.51,100.903,161.789,212.9%,sarima_Ahmednagar_wind_power_density_50m.pkl
Alappuzha,wind_speed_50m,Success,5709.04,2.156,2.797,42.2%,sarima_Alappuzha_wind_speed_50m.pkl
Alappuzha,wind_speed_10m,Success,5114.96,1.796,2.289,41.6%,sarima_Alappuzha_wind_speed_10m.pkl
Alappuzha,wind_speed_2m,Success,4597.86,1.504,1.904,40.8%,sarima_Alappuzha_wind_speed_2m.pkl
Akola,wind_speed_50m,Success,5591.51,1.367,1.701,29.9%,sarima_Akola_wind_speed_50m.pkl
Akola,wind_power_density_50m,Success,17492.89,69.856,95.280,198.2%,sarima_Akola_wind_power_density_50m.pkl
Akola,wind_power_density_10m,Success,15103.52,26.570,39.982,191.1%,sarima_Akola_wind_power_density_10m.pkl
Akola,wind_speed_2m,Success,4048.40,0.837,1.068,36.0%,sarima_Akola_wind_speed_2m.pkl
Alappuzha,wind_power_density_10m,Success,15191.55,37.176,50.297,351.2%,sarima_Alappuzha_wind_power_density_10m.pkl
Akola,wind_speed_10m,Success,4791.20,1.035,1.331,30.4%,sarima_Akola_wind_speed_10m.pkl
Alappuzha,wind_power_density_50m,Success,16782.85,66.516,89.539,435.3%,sarima_Alappuzha_wind_power_density_50m.pkl
Anand,wind_speed_2m,Success,4029.61,0.833,1.040,37.0%,sarima_Anand_wind_speed_2m.pkl
Anantapur,wind_speed_50m,Success,6177.48,1.445,1.857,25.6%,sarima_Anantapur_wind_speed_50m.pkl
Anand,wind_power_density_10m,Success,15066.48,26.214,39.685,188.2%,sarima_Anand_wind_power_density_10m.pkl
Anand,wind_speed_50m,Success,5388.88,1.252,1.562,27.0%,sarima_Anand_wind_speed_50m.pkl
Anantapur,wind_speed_10m,Success,5624.26,1.247,1.602,30.6%,sarima_Anantapur_wind_speed_10m.pkl
Anantapur,wind_power_density_10m,Success,17076.18,59.737,82.668,235.6%,sarima_Anantapur_wind_power_density_10m.pkl
Anand,wind_speed_10m,Success,4746.31,0.996,1.272,29.7%,sarima_Anand_wind_speed_10m.pkl
Anand,wind_power_density_50m,Success,17175.44,60.509,85.418,160.2%,sarima_Anand_wind_power_density_50m.pkl
Anantapur,wind_power_density_50m,Success,19176.11,120.704,163.530,170.0%,sarima_Anantapur_wind_power_density_50m.pkl
Anantapur,wind_speed_2m,Success,4875.78,0.979,1.263,33.5%,sarima_Anantapur_wind_speed_2m.pkl
Bangalore,wind_power_density_10m,Success,15829.98,37.131,48.607,252.1%,sarima_Bangalore_wind_power_density_10m.pkl
Aurangabad,wind_power_density_10m,Success,15512.88,35.765,54.200,204.9%,sarima_Aurangabad_wind_power_density_10m.pkl
Aurangabad,wind_power_density_50m,Success,17733.35,81.121,116.311,170.6%,sarima_Aurangabad_wind_power_density_50m.pkl
Bangalore,wind_speed_50m,Success,5862.84,1.391,1.706,29.6%,sarima_Bangalore_wind_speed_50m.pkl
Aurangabad,wind_speed_10m,Success,4973.63,1.118,1.464,30.0%,sarima_Aurangabad_wind_speed_10m.pkl
Bangalore,wind_speed_10m,Success,5248.52,1.147,1.393,33.8%,sarima_Bangalore_wind_speed_10m.pkl
Aurangabad,wind_speed_50m,Success,5629.21,1.378,1.748,27.6%,sarima_Aurangabad_wind_speed_50m.pkl
Aurangabad,wind_speed_2m,Success,4239.78,0.903,1.171,34.9%,sarima_Aurangabad_wind_speed_2m.pkl
Bangalore,wind_speed_2m,Success,4408.57,0.864,1.047,35.7%,sarima_Bangalore_wind_speed_2m.pkl
Bangalore,wind_power_density_50m,Success,18098.64,86.922,108.189,219.0%,sarima_Bangalore_wind_power_density_50m.pkl
Barmer,wind_speed_50m,Success,6079.60,1.554,1.877,31.3%,sarima_Barmer_wind_speed_50m.pkl
Barmer,wind_speed_2m,Success,4990.17,1.170,1.416,43.6%,sarima_Barmer_wind_speed_2m.pkl
Barmer,wind_power_density_10m,Success,16559.77,50.822,65.383,372.3%,sarima_Barmer_wind_power_density_10m.pkl
Barmer,wind_power_density_50m,Success,18195.10,93.065,117.101,275.8%,sarima_Barmer_wind_power_density_50m.pkl
Barmer,wind_speed_10m,Success,5541.49,1.341,1.650,36.1%,sarima_Barmer_wind_speed_10m.pkl
Bellary,wind_power_density_10m,Success,17430.67,70.646,98.778,319.2%,sarima_Bellary_wind_power_density_10m.pkl
